bodega;stand;zona;nombre;tipo;varietal;pais;region;anada;grado_alcohol;precio;cuerpo;dulzor;acidez;taninos;notas;maridajes;descripcion;foto
Viñas Queirolo;C-02;Perú;Intipalka Sauvignon Blanc;blanco;Sauvignon Blanc;Perú;Ica;2024;12.5;45;2;2;5;;maracuyá|lima|hierba;pescados y mariscos|aves;El blanco peruano más premiado de los últimos años.;intipalka.jpg
Marqués de Riscal;D-01;España;Marqués de Riscal Reserva;tinto;Tempranillo;España;Rioja;2019;14;165;4;2;3;4;ciruela pasa|cuero|coco;carnes rojas|quesos;Rioja clásico de la bodega más antigua de la denominación.;marques.jpg
Marqués de Cáceres;D-02;España;Marqués de Cáceres Crianza;tinto;Tempranillo;España;Rioja;2020;13.5;92;3;2;4;3;cereza|vainilla|regaliz;carnes rojas|pastas;Crianza riojano de estilo moderno, más fruta que madera.;marques-caceres.jpg
Freixenet;D-03;España;Cordón Negro Brut;espumante;Macabeo;España;Penedés;;11.5;62;2;1;5;;manzana|almendra|pan;pescados y mariscos|quesos;El cava de la botella negra, seco y sin pretensiones.;cordon.jpg
Bodegas Martín Códax;D-04;España;Martín Códax Albariño;blanco;Albariño;España;Rías Baixas;2023;12.5;98;2;2;5;;manzana verde|limón|salino;pescados y mariscos;Albariño atlántico con un punto salino inconfundible.;martin.jpg
Bodega Protos;D-05;España;Protos Crianza;tinto;Tempranillo;España;Ribera del Duero;2020;14.5;155;5;2;3;5;mora|tostado|especias;carnes rojas;Ribera del Duero potente, de taninos aún jóvenes.;protos.jpg
E. Guigal;E-01;Francia;Côtes du Rhône Rouge;tinto;Syrah;Francia;Valle del Ródano;2021;14;110;4;2;3;4;pimienta negra|mora|hierbas;carnes rojas|quesos;Syrah del Ródano, especiado y de gran relación calidad-precio.;rouge.jpg
Louis Jadot;E-02;Francia;Mâcon-Villages;blanco;Chardonnay;Francia;Borgoña;2022;13;130;2;1;5;;limón|pedernal|manzana;pescados y mariscos;Chardonnay borgoñón sin barrica: puro mineral y acidez.;macon.png
Moët & Chandon;E-03;Francia;Moët Impérial Brut;espumante;Chardonnay;Francia;Champaña;;12;320;3;2;5;;brioche|manzana|almendra;pescados y mariscos|solo, para tomar;El champán más vendido del mundo, referencia de la casa.;moet.jpg
Château d Esclans;E-04;Francia;Whispering Angel;rosado;Garnacha;Francia;Provenza;2023;13;175;1;2;4;;pomelo|melocotón|romero;pescados y mariscos|aves;El rosado de Provenza que puso de moda el color pálido.;whispering.jpg
Château Guiraud;E-05;Francia;Château Guiraud Sauternes;dulce;Sémillon;Francia;Sauternes;2016;13.5;290;4;5;4;;albaricoque|miel|azafrán;postres|quesos;Dulce noble de Burdeos, con botritis y décadas de guarda.;chateau.png
Marchesi Antinori;F-01;Italia;Villa Antinori Rosso;tinto;Sangiovese;Italia;Toscana;2020;13.5;118;4;2;4;4;cereza|ciruela|tabaco;pastas|carnes rojas;Toscano de la familia con seis siglos haciendo vino.;antinori.jpg
Ruffino;F-02;Italia;Riserva Ducale Chianti Classico;tinto;Sangiovese;Italia;Chianti Classico;2020;13.5;128;3;2;5;4;cereza ácida|violeta|cuero;pastas|carnes rojas;Chianti de acidez alta, hecho para acompañar comida.;ducale.jpg
Santa Margherita;F-03;Italia;Santa Margherita Pinot Grigio;blanco;Pinot Grigio;Italia;Valdadige;2023;12.5;105;2;2;4;;manzana|almendra|cítricos;pescados y mariscos|pastas;El Pinot Grigio que definió el estilo seco del norte de Italia.;santa.jpg
Bottega;F-04;Italia;Il Vino dei Poeti Prosecco;espumante;Glera;Italia;Véneto;;11;58;1;2;4;;pera|manzana verde|flores;aves|solo, para tomar;Prosecco liviano y floral, para empezar la noche.;ilvino.jpg
Michele Chiarlo;F-05;Italia;Nivole Moscato d Asti;dulce;Moscato;Italia;Piamonte;2023;5;75;1;5;4;;uva moscatel|salvia|miel;postres;Dulce y burbujeante, con la mitad del alcohol de un vino normal.;nivole.jpg
Cloudy Bay;G-01;Nueva Zelanda;Cloudy Bay Sauvignon Blanc;blanco;Sauvignon Blanc;Nueva Zelanda;Marlborough;2023;13;190;2;2;5;;maracuyá|espárrago|lima;pescados y mariscos|aves;El vino que hizo famoso a Marlborough, explosivo en aromas.;cloudy.jpg
Dr. Loosen;G-02;Alemania;Dr. L Riesling;blanco;Riesling;Alemania;Mosela;2023;8.5;68;1;3;5;;manzana verde|durazno|mineral;pescados y mariscos|aves;Riesling del Mosela: bajo en alcohol, con un toque dulce.;riesling.jpg
